SANCAID;Datum;Tyzden;C_1;C_2;C_3;C_4;C_5;C_6;P_2;P_3;P_5;P_6;P_8;P_9;P_11;P_12;P_14;P_15;JACKPOT;VKLAD;NA_VYHRY;PREDP_SUMA_SPOLU;PREDP_SUMA_1;NASLED_ZREB
41;13.10.1996;41;4;0;3;2;2;7;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
42;20.10.1996;42;6;5;7;7;3;2;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
43;27.10.1996;43;5;4;2;8;1;0;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
44;3.11.1996;44;6;8;8;4;5;1;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
45;10.11.1996;45;2;0;1;1;3;0;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
46;17.11.1996;46;7;4;1;4;7;5;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
47;24.11.1996;47;4;4;4;2;3;8;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
48;1.12.1996;48;8;4;6;0;9;0;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
49;8.12.1996;49;8;4;3;4;3;7;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
50;15.12.1996;50;2;1;0;4;8;9;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
51;22.12.1996;51;0;4;3;2;4;1;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
52;29.12.1996;52;5;6;4;3;9;5;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
53;5.1.1997;53;8;9;6;0;9;9;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
54;12.1.1997;2;1;0;6;4;6;5;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
55;19.1.1997;3;2;5;1;9;6;0;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
56;26.1.1997;4;9;5;8;4;6;6;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
57;2.2.1997;5;0;4;1;7;8;4;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
58;9.2.1997;6;5;0;4;6;2;8;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
59;16.2.1997;7;6;9;0;0;7;2;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
60;23.2.1997;8;2;7;8;2;7;3;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
61;2.3.1997;9;7;1;4;2;8;2;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
62;9.3.1997;10;8;2;8;2;5;2;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
63;16.3.1997;11;6;9;2;7;0;3;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
64;23.3.1997;12;7;2;6;8;7;0;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
65;30.3.1997;13;6;1;5;8;5;5;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
66;6.4.1997;14;8;7;7;0;5;0;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
67;13.4.1997;15;0;4;1;4;0;6;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
68;20.4.1997;16;4;2;0;0;1;6;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
69;27.4.1997;17;5;1;1;1;2;5;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
70;4.5.1997;18;9;3;0;2;7;9;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
71;11.5.1997;19;0;9;2;7;4;7;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
72;18.5.1997;20;6;2;6;3;8;9;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
73;25.5.1997;21;2;0;6;8;7;7;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
74;1.6.1997;22;8;4;9;0;8;0;0;-1.00;0;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;-1.00;0.00;0.00;
