KENOID;DATUM;TYZDEN;C_1;C_2;C_3;C_4;C_5;C_6;C_7;C_8;C_9;C_10;C_11;C_12;C_13;C_14;C_15;C_16;C_17;C_18;C_19;C_20
61;1.2.1996;5;1;4;5;6;10;15;16;28;33;36;40;41;44;45;46;54;64;67;72;73
62;2.2.1996;5;1;3;7;8;9;11;18;30;32;36;39;43;46;47;49;51;53;56;62;74
63;3.2.1996;5;5;6;17;32;35;37;40;41;42;47;49;56;58;60;64;65;67;70;73;78
64;5.2.1996;6;11;13;14;17;20;33;36;37;39;42;46;49;50;60;62;63;64;68;71;73
65;6.2.1996;6;6;11;12;13;17;25;26;28;31;39;44;52;54;57;64;65;69;74;76;80
66;7.2.1996;6;2;6;7;13;15;16;19;23;28;33;34;36;38;39;43;68;73;75;76;77
67;8.2.1996;6;1;4;5;7;9;14;15;26;27;30;36;37;39;50;56;58;62;66;71;76
68;9.2.1996;6;4;7;9;12;22;23;27;34;36;43;44;47;48;53;55;57;60;70;72;76
69;10.2.1996;6;5;11;12;25;31;35;37;44;45;46;53;55;56;62;63;66;71;73;76;77
70;12.2.1996;7;1;24;25;26;29;33;34;36;43;44;51;56;66;68;70;72;73;74;78;79
71;13.2.1996;7;14;18;24;26;28;30;33;34;36;41;45;47;48;57;61;65;68;73;77;80
72;14.2.1996;7;3;11;13;14;18;26;30;34;35;42;46;59;61;65;68;69;73;76;77;80
73;15.2.1996;7;1;3;7;9;18;22;27;28;34;45;52;59;61;69;70;74;76;77;79;80
74;16.2.1996;7;1;3;6;10;11;14;16;25;26;37;47;49;50;52;55;61;65;67;70;72
75;17.2.1996;7;1;13;16;18;31;37;39;40;44;46;47;49;51;62;69;70;71;75;76;80
76;19.2.1996;8;4;6;11;14;18;20;32;35;37;39;40;46;50;55;58;65;70;74;75;79
77;20.2.1996;8;6;9;10;11;19;20;24;27;41;43;44;48;57;59;60;66;68;76;77;78
78;21.2.1996;8;4;5;7;15;17;19;35;40;41;42;46;53;58;59;63;72;73;77;78;80
79;22.2.1996;8;1;3;18;33;35;36;38;45;46;49;52;54;56;61;64;65;67;69;78;80
80;23.2.1996;8;1;6;7;12;13;14;16;17;18;19;20;28;53;55;57;59;62;69;77;78
81;24.2.1996;8;6;9;11;13;16;19;24;30;34;38;54;59;60;61;63;64;69;71;76;77
82;26.2.1996;9;5;8;9;10;11;13;14;15;20;21;27;30;36;52;59;67;72;73;76;80
83;27.2.1996;9;1;3;6;8;13;16;20;22;23;24;25;41;44;45;50;65;70;74;76;80
84;28.2.1996;9;2;3;7;10;15;16;24;26;27;28;30;33;37;56;58;62;67;74;76;79
85;29.2.1996;9;6;7;9;16;18;22;31;32;36;38;41;43;46;48;49;50;60;62;65;76
86;1.3.1996;9;3;9;12;13;17;24;25;27;35;40;41;45;47;49;51;55;59;61;71;76
87;2.3.1996;9;3;6;10;12;13;14;25;27;29;36;41;48;50;51;53;59;69;71;76;78
88;4.3.1996;10;2;4;5;6;18;19;33;35;36;37;40;43;45;55;58;60;65;72;74;75
89;5.3.1996;10;2;8;16;19;20;36;40;41;44;47;48;49;52;55;56;59;74;75;76;78
90;6.3.1996;10;7;9;10;11;12;15;16;17;18;19;25;43;46;58;61;63;68;69;70;73
91;7.3.1996;10;3;8;12;24;26;40;46;48;51;52;53;55;57;63;64;68;70;74;76;79
92;8.3.1996;10;3;6;9;10;11;14;18;19;29;30;35;37;40;47;55;57;61;68;74;75
93;9.3.1996;10;4;17;23;27;29;30;32;35;36;40;42;44;46;52;53;70;71;72;76;78
94;11.3.1996;11;1;6;9;16;31;35;38;41;43;46;53;59;61;66;69;71;74;77;79;80
95;12.3.1996;11;9;10;12;15;17;19;22;25;26;28;33;39;42;51;56;64;69;73;77;79
96;13.3.1996;11;9;13;14;26;27;31;44;46;47;53;56;57;59;63;65;67;69;71;74;78
97;14.3.1996;11;2;3;5;6;7;8;17;24;28;29;30;36;42;43;44;59;64;66;68;69
98;15.3.1996;11;2;6;8;14;17;28;31;37;42;46;49;50;56;61;63;68;70;73;78;79
99;16.3.1996;11;1;4;5;7;8;14;17;19;21;22;27;29;30;39;44;61;66;67;73;77
100;18.3.1996;12;1;3;10;11;14;22;23;29;31;33;38;40;41;42;44;49;60;64;71;78
101;19.3.1996;12;5;7;12;14;25;28;29;31;34;39;40;52;58;59;60;64;68;69;71;76
102;20.3.1996;12;2;3;4;8;10;12;30;37;38;47;49;51;53;56;58;64;65;76;77;78
103;21.3.1996;12;5;10;15;16;18;19;20;32;34;39;40;53;54;58;60;68;71;75;79;80
104;22.3.1996;12;4;5;13;19;26;30;34;36;45;52;53;55;56;57;65;67;73;76;78;79
105;23.3.1996;12;12;24;26;27;28;29;30;39;45;50;56;58;61;62;64;66;70;72;75;76
106;25.3.1996;13;1;2;6;9;14;17;21;23;27;29;37;47;52;54;55;56;63;74;75;77
107;26.3.1996;13;3;4;5;6;7;14;18;19;24;25;26;40;57;59;64;65;67;74;76;77
108;27.3.1996;13;2;10;17;22;23;26;29;31;35;36;44;49;50;54;65;70;73;75;76;77
109;28.3.1996;13;1;2;7;8;13;14;15;16;25;29;31;33;40;43;47;48;65;68;70;74
110;29.3.1996;13;1;8;14;15;18;21;28;32;33;37;38;42;47;52;56;60;67;70;75;78
111;30.3.1996;13;2;3;4;9;13;14;15;20;24;30;32;38;40;45;46;58;63;66;72;74
112;1.4.1996;14;1;4;5;11;14;18;23;24;26;28;31;34;36;37;44;47;49;53;59;68
113;2.4.1996;14;7;15;17;26;28;30;32;37;40;44;46;48;50;57;68;69;72;77;78;79
114;3.4.1996;14;3;6;7;11;14;25;26;27;29;35;37;38;46;48;57;58;60;61;62;76
115;4.4.1996;14;8;18;24;35;36;39;40;45;47;50;53;58;61;62;71;73;74;75;76;80
116;6.4.1996;14;10;12;17;21;22;23;24;33;50;51;52;54;56;58;59;63;67;68;70;79
117;9.4.1996;14;7;8;10;15;25;26;31;32;38;41;42;44;46;50;51;54;59;61;71;77
118;10.4.1996;15;4;11;12;15;17;20;21;22;26;35;36;37;46;52;54;57;59;65;66;78
119;11.4.1996;15;1;15;17;20;21;22;28;39;41;43;45;48;55;56;58;59;61;63;64;68
120;12.4.1996;15;7;8;20;22;23;30;35;38;39;43;46;47;50;51;52;58;70;72;74;77
121;13.4.1996;15;11;13;15;17;25;30;31;32;48;49;51;53;59;61;63;67;69;71;79;80
122;15.4.1996;15;10;13;16;18;23;24;26;27;29;40;42;52;54;55;56;57;60;65;68;75
123;16.4.1996;16;2;3;15;16;17;22;24;28;35;36;38;47;58;60;61;62;64;66;68;76
124;17.4.1996;16;1;6;7;10;12;19;20;25;32;33;37;38;39;53;59;68;69;71;72;74
125;18.4.1996;16;5;7;9;10;11;15;16;26;28;34;37;38;43;46;62;64;71;74;75;80
126;19.4.1996;16;9;11;12;14;15;21;27;30;32;33;48;51;55;56;58;67;69;73;76;79
