ID;Datum;Tyzden;C_1;C_2;C_3;C_4;C_5;C_6;P_1;P_2;P_3;P_4;P_5;P_6;P_7;P_8;P_9;P_10;P_11;P_12;JACKPOT;VKLAD;NA_VYHRY
32;10.10.2014;41;5;9;0;2;7;7;0;0,00000;0;1200,00000;0;150,00000;16;30,00000;152;2,50000;1421;0,50000;8562,70000;4924,80000;10133,20000
33;11.10.2014;41;7;5;4;0;0;3;0;0,00000;0;1200,00000;0;150,00000;13;30,00000;160;2,50000;1403;0,50000;9387,20000;4632,00000;10878,70000
34;12.10.2014;41;2;4;5;6;8;2;0;0,00000;0;1200,00000;4;150,00000;16;30,00000;130;2,50000;1321;0,50000;9543,20000;4443,00000;11608,70000
35;13.10.2014;42;0;4;2;4;7;9;0;0,00000;0;1200,00000;1;150,00000;13;30,00000;136;2,50000;1378;0,50000;10263,80000;4579,20000;11832,80000
36;14.10.2014;42;9;2;2;3;2;0;0;0,00000;0;1200,00000;1;150,00000;13;30,00000;133;2,50000;1399;0,50000;11052,65000;4721,70000;12624,65000
37;15.10.2014;42;3;9;8;2;7;5;0;0,00000;0;1200,00000;9;150,00000;12;30,00000;167;2,50000;1545;0,50000;10579,05000;4852,80000;13479,05000
38;16.10.2014;42;3;6;9;9;0;7;0;0,00000;0;1200,00000;1;150,00000;14;30,00000;124;2,50000;1532;0,50000;11445,70000;5025,30000;13091,70000
39;17.10.2014;42;3;7;5;7;5;4;0;0,00000;0;1200,00000;1;150,00000;12;30,00000;126;2,50000;1530;0,50000;12400,45000;5089,50000;13990,45000
40;18.10.2014;42;4;6;2;5;9;4;0;0,00000;0;1200,00000;2;150,00000;13;30,00000;127;2,50000;1438;0,50000;13060,15000;4772,40000;14786,65000
41;19.10.2014;42;7;9;3;9;9;6;0;0,00000;0;1200,00000;1;150,00000;8;30,00000;142;2,50000;1361;0,50000;13910,45000;4551,60000;15335,95000
42;20.10.2014;43;5;2;7;0;2;3;0;0,00000;0;1200,00000;5;150,00000;18;30,00000;148;2,50000;1459;0,50000;13918,10000;4794,30000;16307,60000
43;21.10.2014;43;4;2;8;7;1;4;0;0,00000;0;1200,00000;0;150,00000;16;30,00000;141;2,50000;1431;0,50000;14734,85000;4729,50000;16282,85000
44;22.10.2014;43;1;1;8;1;0;7;0;0,00000;0;1200,00000;2;150,00000;19;30,00000;158;2,50000;1442;0,50000;15112,25000;4726,80000;17098,25000
45;23.10.2014;43;8;2;6;4;8;1;0;0,00000;0;1200,00000;2;150,00000;18;30,00000;149;2,50000;1496;0,50000;15550,55000;4797,60000;17511,05000
46;24.10.2014;43;9;3;0;5;7;3;0;0,00000;0;1200,00000;1;150,00000;16;30,00000;161;2,50000;1552;0,50000;16235,80000;4987,50000;18044,30000
47;25.10.2014;43;0;8;4;0;1;9;0;0,00000;0;1200,00000;1;150,00000;12;30,00000;122;2,50000;1340;0,50000;17040,25000;4578,90000;18525,25000
48;26.10.2014;43;1;9;5;9;7;8;0;0,00000;1;1200,00000;0;150,00000;15;30,00000;135;2,50000;1370;0,50000;16540,50000;4345,50000;19213,00000
49;27.10.2014;44;5;2;3;1;7;7;0;0,00000;0;1200,00000;2;150,00000;8;30,00000;130;2,50000;1335;0,50000;17176,40000;4336,80000;18708,90000
50;28.10.2014;44;4;8;0;9;8;6;0;0,00000;0;1200,00000;3;150,00000;7;30,00000;140;2,50000;1350;0,50000;17687,85000;4392,90000;19372,85000
