ID;DATUM;TYZDEN;C_1;C_2;C_3;C_4;C_5;C_6;DODAT;E_1;E_2;E_3;E_4;E_5;E_6;E_7;E_8;E_9;E_10;E_11;E_12;E_13;E_14;JACKPOT1;VKLAD1;NA_VYHRY1;PREDP_SUMA1;SUMA_VYHRY1;NASLED_ZREB
42;9.2.1958;6;17;11;20;22;46;16;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;16.2.1958
43;16.2.1958;7;8;46;36;14;29;13;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;23.2.1958
44;23.2.1958;8;34;25;22;5;14;30;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;2.3.1958
45;2.3.1958;9;35;11;21;33;25;24;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;9.3.1958
46;9.3.1958;10;21;33;16;28;32;25;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;16.3.1958
47;16.3.1958;11;48;7;4;3;11;14;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;23.3.1958
48;23.3.1958;12;42;48;11;8;39;17;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;30.3.1958
49;30.3.1958;13;6;25;27;8;40;17;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;6.4.1958
50;6.4.1958;14;4;48;3;2;37;15;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;13.4.1958
51;13.4.1958;15;6;24;14;36;25;20;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;20.4.1958
52;20.4.1958;16;45;34;26;4;21;31;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;27.4.1958
53;27.4.1958;17;4;40;7;12;25;26;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;4.5.1958
54;4.5.1958;18;43;45;33;37;26;23;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;11.5.1958
55;11.5.1958;19;44;23;48;19;47;1;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;18.5.1958
56;18.5.1958;20;32;36;22;47;6;10;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;25.5.1958
57;25.5.1958;21;42;27;33;32;8;11;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;1.6.1958
58;1.6.1958;22;43;3;16;13;38;40;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;8.6.1958
59;8.6.1958;23;1;49;36;44;27;30;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;15.6.1958
60;15.6.1958;24;6;40;8;4;31;44;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;22.6.1958
61;22.6.1958;25;25;36;18;30;11;9;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;29.6.1958
62;29.6.1958;26;5;26;42;13;34;12;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;6.7.1958
63;6.7.1958;27;15;36;44;18;33;13;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;13.7.1958
64;13.7.1958;28;48;5;17;49;28;24;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;20.7.1958
65;20.7.1958;29;19;48;45;9;29;24;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;27.7.1958
66;27.7.1958;30;28;2;44;47;48;24;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;3.8.1958
67;3.8.1958;31;29;34;38;47;49;35;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;10.8.1958
68;10.8.1958;32;28;21;27;29;43;49;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;17.8.1958
69;17.8.1958;33;21;39;11;1;38;7;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;24.8.1958
70;24.8.1958;34;5;42;12;10;23;48;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;31.8.1958
71;31.8.1958;35;13;31;33;17;34;36;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;7.9.1958
72;7.9.1958;36;46;47;36;13;32;43;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;14.9.1958
73;14.9.1958;37;48;38;20;15;46;22;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;21.9.1958
74;21.9.1958;38;18;30;7;24;47;25;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;28.9.1958
75;28.9.1958;39;44;38;46;31;14;47;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;5.10.1958
76;5.10.1958;40;11;2;16;46;30;35;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;12.10.1958
77;12.10.1958;41;38;8;3;40;42;39;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;19.10.1958
78;19.10.1958;42;10;45;43;11;3;1;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;26.10.1958
79;26.10.1958;43;32;22;27;45;31;19;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;2.11.1958
80;2.11.1958;44;44;29;32;5;26;3;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;9.11.1958
81;9.11.1958;45;27;46;38;26;21;22;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;16.11.1958
82;16.11.1958;46;40;1;33;30;9;49;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;23.11.1958
83;23.11.1958;47;21;44;26;4;14;8;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;30.11.1958
84;30.11.1958;48;14;39;36;16;5;45;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;7.12.1958
85;7.12.1958;49;1;46;37;43;45;13;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;14.12.1958
86;14.12.1958;50;33;19;47;30;21;12;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;21.12.1958
87;21.12.1958;51;12;9;30;40;47;45;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;4.1.1959
88;4.1.1959;1;10;22;49;26;4;1;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;11.1.1959
89;11.1.1959;2;19;38;28;24;13;36;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;18.1.1959
90;18.1.1959;3;7;49;3;25;28;16;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;25.1.1959
91;25.1.1959;4;33;9;1;27;18;25;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;1.2.1959
92;1.2.1959;5;47;3;4;43;5;2;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;8.2.1959
93;8.2.1959;6;15;3;13;31;16;33;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;15.2.1959
94;15.2.1959;7;30;49;31;45;17;37;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;22.2.1959
95;22.2.1959;8;15;46;34;27;4;16;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;1.3.1959
96;1.3.1959;9;11;20;14;21;37;4;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;8.3.1959
97;8.3.1959;10;46;35;21;25;38;45;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;15.3.1959
98;15.3.1959;11;22;5;37;7;46;19;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;22.3.1959
99;22.3.1959;12;48;15;34;39;22;8;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;29.3.1959
100;29.3.1959;13;43;42;7;14;49;44;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;5.4.1959
101;5.4.1959;14;6;34;11;36;39;15;0;0;-1;0;-1;0;-1;0;-1;0;-1;;;;;-1;-1;-1;0;0;12.4.1959
