MATESID;DATUM;TYZDEN;C_1;C_2;C_3;C_4;C_5;1_SUMA_VYH;1_POCET_VYH;2_SUMA_VYH;2_POCET_VYH;3_SUMA_VYH;3_POCET_VYH;JACKPOT;VKLAD;NA_VYHRY;PREDP_SUMA_SPOLU;PREDP_SUMA_1;NASLED_ZREB
17;20.11.1994;47;17;25;27;31;32;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
18;4.12.1994;49;24;27;29;31;33;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
19;18.12.1994;51;2;17;19;30;32;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
20;1.1.1995;53;15;17;19;28;34;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
21;15.1.1995;3;5;14;23;27;29;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
22;29.1.1995;5;9;14;17;31;32;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
23;12.2.1995;7;8;10;28;29;33;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
24;26.2.1995;9;7;13;20;29;33;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
25;12.3.1995;11;8;12;32;33;35;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
26;26.3.1995;13;6;10;18;20;32;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
27;9.4.1995;15;7;11;12;26;35;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
28;23.4.1995;17;6;8;14;26;29;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
29;7.5.1995;19;10;14;20;21;28;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
30;21.5.1995;21;1;4;6;25;32;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
31;4.6.1995;23;3;5;15;19;24;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
32;18.6.1995;25;3;18;19;25;30;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
33;2.7.1995;27;5;8;25;31;32;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
34;16.7.1995;29;3;5;15;23;31;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
35;30.7.1995;31;3;12;16;21;29;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
36;13.8.1995;33;1;2;3;29;33;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
37;27.8.1995;35;1;2;18;32;33;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
38;10.9.1995;37;3;7;12;22;35;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
39;24.9.1995;39;12;16;18;29;32;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
40;8.10.1995;41;13;16;19;31;35;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
41;22.10.1995;43;9;12;15;32;34;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
42;5.11.1995;45;10;12;20;25;35;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
43;19.11.1995;47;16;25;27;33;35;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
44;3.12.1995;49;4;8;9;14;33;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
45;17.12.1995;51;7;16;27;28;29;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
46;31.12.1995;53;1;3;10;17;33;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
47;14.1.1996;2;6;8;15;18;30;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
48;28.1.1996;4;9;19;21;24;32;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
49;11.2.1996;6;9;11;16;30;33;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
50;25.2.1996;8;7;18;22;32;34;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
51;10.3.1996;10;6;10;22;26;28;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
52;24.3.1996;12;5;10;20;23;26;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
53;7.4.1996;14;4;25;27;30;34;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
54;21.4.1996;16;12;22;29;31;32;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
55;5.5.1996;18;5;22;30;31;34;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
56;19.5.1996;20;7;14;17;26;30;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
57;2.6.1996;22;11;12;15;22;23;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
58;16.6.1996;24;2;9;11;32;33;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
59;30.6.1996;26;2;12;15;21;24;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
60;14.7.1996;28;5;8;18;31;32;-1.00;0;-1.00;0;-1.00;0;-1.00;-1.00;-1.00;0.00;0.00;
